,feats_hillshade_Cp1,feats_hillshade_Cp2,feats_hillshade_Cp3,class,clusters,Cp_Product,reordered_cluster,geometry,x,y
120,2.8490372,-6.2902937,-4.0384464,0,1,1985714400.0,9,POINT (15893141 -4751042),15893141.0,-4751042.0
121,2.2823772,-7.027463,-4.659218,0,1,2330747100.0,9,POINT (15893141 -4750442),15893141.0,-4750442.0
122,1.8160686,-5.509444,-3.3202214,0,8,40460908.0,3,POINT (15893141 -4749842),15893141.0,-4749842.0
123,2.3147173,-5.9033833,-4.511031,0,2,889966900.0,8,POINT (15893141 -4749242),15893141.0,-4749242.0
124,1.9200244,-6.065528,-3.9919567,0,5,217173000.0,2,POINT (15893141 -4748642),15893141.0,-4748642.0
125,2.2647328,-5.543362,-4.59344,0,2,637736600.0,8,POINT (15893141 -4748042),15893141.0,-4748042.0
126,1.7690573,-4.7499123,-4.3050327,0,2,61946892.0,8,POINT (15893141 -4747442),15893141.0,-4747442.0
127,2.9240828,-5.7682056,-3.8375306,0,4,1136085900.0,5,POINT (15893141 -4746842),15893141.0,-4746842.0
128,2.2313886,-5.601567,-4.487719,0,1,555331100.0,9,POINT (15893141 -4746242),15893141.0,-4746242.0
129,1.589046,-6.5137615,-3.1638937,0,5,37666132.0,2,POINT (15893141 -4745642),15893141.0,-4745642.0
130,2.0926485,-5.5252204,-3.0536132,0,1,54865536.0,9,POINT (15893141 -4745042),15893141.0,-4745042.0
131,2.133028,-6.482435,-3.9266376,0,1,471821700.0,9,POINT (15893141 -4744442),15893141.0,-4744442.0
132,2.4143476,-5.763711,-5.2169065,0,2,2016393900.0,8,POINT (15893141 -4743842),15893141.0,-4743842.0
133,2.1398911,-5.6169524,-3.1878834,0,3,82598890.0,4,POINT (15893141 -4743242),15893141.0,-4743242.0
134,2.2940187,-5.200288,-2.6054173,0,3,29007358.0,4,POINT (15893141 -4742642),15893141.0,-4742642.0
135,2.252983,-5.7291737,-3.2564068,0,0,131202690.0,0,POINT (15893141 -4742042),15893141.0,-4742042.0
136,3.5664473,-5.1776476,-4.480229,0,2,3875631400.0,8,POINT (15893141 -4741442),15893141.0,-4741442.0
137,2.6767974,-6.121718,-3.5330172,0,1,650388400.0,9,POINT (15893141 -4740842),15893141.0,-4740842.0
138,3.400916,-4.9829607,-3.5657897,0,3,805740860.0,4,POINT (15893141 -4740242),15893141.0,-4740242.0
139,2.5399094,-4.70004,-2.3687806,0,3,18081028.0,4,POINT (15893141 -4739642),15893141.0,-4739642.0
140,2.0491571,-4.549545,-2.4432793,0,0,6131709.0,0,POINT (15893141 -4739042),15893141.0,-4739042.0
141,2.3773642,-6.474534,-3.9056416,0,1,785205000.0,9,POINT (15893141 -4738442),15893141.0,-4738442.0
142,1.627882,-4.899761,-2.7000456,0,0,4632811.0,0,POINT (15893141 -4737842),15893141.0,-4737842.0
143,3.086152,-5.2120013,-2.0275736,0,3,36897124.0,4,POINT (15893141 -4737242),15893141.0,-4737242.0
144,1.9785728,-4.3021,-3.5627022,0,0,25648406.0,0,POINT (15893141 -4736642),15893141.0,-4736642.0
145,1.8514366,-4.5171347,-3.201652,0,0,13763540.0,0,POINT (15893141 -4736042),15893141.0,-4736042.0
146,2.937498,-4.3381357,-2.614057,0,0,41018420.0,0,POINT (15893141 -4735442),15893141.0,-4735442.0
147,3.1740446,-6.4273715,-4.9338665,0,1,10331639000.0,9,POINT (15893741 -4760642),15893741.0,-4760642.0
148,3.3819208,-4.848772,-4.366535,0,2,1882178700.0,8,POINT (15893741 -4760042),15893741.0,-4760042.0
149,3.137846,-4.7700787,-3.4000525,0,2,341361060.0,8,POINT (15893741 -4759442),15893741.0,-4759442.0
150,2.4585242,-3.8706136,-2.638791,0,0,9983814.0,0,POINT (15893741 -4758842),15893741.0,-4758842.0
151,2.7257195,-5.525044,-2.2992182,0,3,49772050.0,4,POINT (15893741 -4758242),15893741.0,-4758242.0
152,2.537694,-5.4100432,-4.4278812,0,2,830194400.0,8,POINT (15893741 -4757642),15893741.0,-4757642.0
153,3.1056037,-6.0515585,-5.042136,0,2,7640808400.0,8,POINT (15893741 -4757042),15893741.0,-4757042.0
154,3.10811,-4.918023,-2.6113749,0,3,101339970.0,4,POINT (15893741 -4756442),15893741.0,-4756442.0
155,3.0379982,-6.988579,-4.7402415,0,1,10324858000.0,9,POINT (15893741 -4755842),15893741.0,-4755842.0
156,2.8717594,-7.0880394,-5.0508833,0,1,11487029000.0,9,POINT (15893741 -4755242),15893741.0,-4755242.0
157,3.11096,-6.6904106,-2.9824343,0,3,921701900.0,4,POINT (15893741 -4754642),15893741.0,-4754642.0
158,2.7191582,-7.080755,-4.960327,1,1,7945510400.0,9,POINT (15893741 -4754042),15893741.0,-4754042.0
159,2.7973642,-6.7829266,-5.0933905,1,1,8430736400.0,9,POINT (15893741 -4753442),15893741.0,-4753442.0
160,1.5763392,-6.370442,-3.081008,0,5,28350474.0,2,POINT (15893741 -4752842),15893741.0,-4752842.0
161,2.7528105,-4.4801903,-2.1860018,0,0,14243491.0,0,POINT (15893741 -4752242),15893741.0,-4752242.0
162,2.4797192,-6.9779935,-4.713334,0,1,3608332500.0,9,POINT (15893741 -4751642),15893741.0,-4751642.0
163,3.354269,-6.8439817,-3.594555,0,1,3826126000.0,9,POINT (15893741 -4751042),15893741.0,-4751042.0
164,1.8738022,-4.815056,-2.419016,0,0,4952437.5,0,POINT (15893741 -4750442),15893741.0,-4750442.0
165,2.5083585,-6.4423103,-4.4029765,0,1,1823425800.0,9,POINT (15893741 -4749842),15893741.0,-4749842.0
166,3.3346853,-7.045747,-3.6009731,0,1,4335197000.0,9,POINT (15893741 -4749242),15893741.0,-4749242.0
167,3.0985012,-6.4558496,-4.638422,0,1,6876645000.0,9,POINT (15893741 -4748642),15893741.0,-4748642.0
168,2.9808426,-6.0454464,-4.091445,0,2,2178817500.0,8,POINT (15893741 -4748042),15893741.0,-4748042.0
169,2.5662823,-5.9929037,-2.5014343,0,3,84266340.0,4,POINT (15893741 -4747442),15893741.0,-4747442.0
170,2.0375013,-4.2547073,-3.5482416,0,0,27536196.0,0,POINT (15893741 -4746842),15893741.0,-4746842.0
